Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201811,19740,"Denver-Aurora-Lakewood, CO",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,408570.25,0.0216,-0.1167,1801.5,0.0021,-0.1247,225.0161541,0.0067,-0.0175,1072.5,-0.0488,1.7118,0.2862,-0.1595,-0.2835,53.5,6.75,0.1444,7.25,0.1568,298,-0.2116,0.0876,18,-0.4706,-0.3571,240,-0.2105,1.1818,22,0.1892,0.4667,1094.5,-0.0449,1.6663,0.0205,0.0041,-0.0174,-0.0414,0.2999,0,-0.5209,0,0
201811,10820,"Alexandria, MN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,252775,-0.1351,-0.1533,1843,-0.0959,-0.1577,117.3222912,-0.0983,-0.1349,6,-0.4,-0.25,0.25,-0.2858,1,78.5,7,0.0979,-46.75,-0.3733,0,-1,-1,0,,,0,,,1,0,0,7,-0.3636,-0.2222,0.1667,0.0667,0.0417,-0.6244,-0.1036,-0.3962,0.2,0,0
201811,40060,"Richmond, VA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,286797.5,-0.0085,0.0193,1859.25,-0.0044,-0.0001,151.5974206,-0.0099,0.0268,230,0.0177,-0.0437,0.4434,0.3271,0.3331,36.75,-19.75,-0.3496,-23.25,-0.3875,126,0.4,0.3696,8,-0.4286,0,42,-0.3636,0.3125,322,0.011,-0.1332,552,0.0138,-0.098,1.4,-0.0093,-0.1447,0.0771,0.0744,0.0603,0.1389,0,0
201811,18980,"Cullman, AL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,334950,-0.0001,1.0555,1620,-0.0125,-0.0442,188.3333333,0.003,0.298,13,0,0.8571,0,-1,-1,65.5,14,0.2718,-56,-0.4609,0,,,0,,,0,,,0,,,13,0,0.8571,0,0,0,-0.3321,1.046,-0.35,-0.0714,0,0
201811,33860,"Montgomery, AL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,94550,-0.0202,-0.005,1728,0.0088,-0.0479,64.39393939,0.003,0.0078,17.5,-0.0278,-0.2708,0.1428,0.7142,-0.238,107,24.5,0.297,26.5,0.3292,2,-0.5,-0.5,0,,,0,-1,,0,,,17.5,-0.0278,-0.2708,0,0,0,-0.1845,-0.1159,-0.0625,0.25,0,0
201811,36840,"Ottawa, KS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,259050,0,,3000,0,,86.33333333,0,,1,0,,0,,,286.5,28,0.1083,,,0,,,0,,,0,,,0,,,1,0,,0,0,,-0.4154,,-0.4154,,0,0
201811,21740,"Evanston, WY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,85800,-0.0973,-0.1338,1420.5,0.046,-0.1328,61.74133629,-0.1331,-0.1419,2,-0.6,-0.6,0,-1,-1,107,28.5,0.3631,-32.5,-0.233,0,,,0,,,0,,,0,,,2,-0.6,-0.6,0,0,0,-0.2989,0.0118,0.2683,1.08,0,0
201811,49340,"Worcester, MA-CT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,278750,0.0326,0.0395,1720.25,0.0226,0.0357,165.9869158,0.044,0.0372,101.5,0,0.2454,0.3694,0.1366,0.1153,47,-4,-0.0784,-0.5,-0.0105,28,-0.3,0.0769,0,,,26,-0.2353,0.8571,1,0,-0.3333,102.5,0,0.2349,0.0099,0,-0.0086,-0.1563,-0.0073,-0.1554,-0.2163,0,0
201811,42100,"Santa Cruz-Watsonville, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,779545,0.018,0.2472,1556.5,-0.0089,0.046,486.5395948,0.0069,0.0725,32,0.0323,1.56,0.3437,0.3321,-0.2839,57,3,0.0556,21.5,0.6056,4,-0.6667,-0.5,0,,,8,-0.5,1,13,0.0833,-0.2121,45,0.0465,0.5517,0.4063,0.0192,-0.9138,-0.2051,-0.1461,-0.2348,-0.6976,1,0
201811,46620,"Uvalde, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,252550,0,,1440,0,,175.3472222,0,,0,-1,,,,,1,-79.5,-0.9876,,,0,,,0,,,0,,,0,,,0,-1,,,,,-1,,,,0,
201811,45220,"Tallahassee, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,137225,-0.037,-0.0244,1344,-0.0088,-0.04,94.63736911,0.0086,-0.0492,116.5,0.0639,0.0495,0.2188,0.0647,-0.0834,82,10.5,0.1469,14.75,0.2193,18,-0.1,0.125,0,,,16,0.3333,1.6667,5,-0.4118,-0.0909,121.5,0.0297,0.0429,0.0429,-0.0347,-0.0066,0.0295,0.2004,-0.0108,0.15,0,0
201811,27500,"Janesville-Beloit, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,178475,-0.2274,-0.1184,1919,-0.0887,0.024,94.18241217,-0.0737,-0.1162,6.5,0,0,0.3076,1,0,54.75,-11,-0.1673,-21,-0.2772,2,,0,0,,,0,,,0,,,6.5,0,0,0,0,0,0.0378,-0.1954,0.2868,-0.1981,0,0
201811,36220,"Odessa, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,252675,-0.0337,0.1435,1837,-0.0676,0.1312,125.3479916,-0.0504,0.0183,6,-0.0769,-0.76,0.1667,0.0838,-0.5833,99,32.75,0.4943,63.5,1.7887,2,,-0.6667,0,,,0,,,0,,-1,6,-0.0769,-0.7736,0,0,-0.06,0.1308,-0.3799,0.0357,1.2308,0,0
201811,30460,"Lexington-Fayette, KY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,224950,-0.0294,-0.1931,1539.75,0.0097,-0.2747,135.6885246,0.045,0.0084,18.5,-0.1395,-0.3509,0.2703,-0.0312,-0.0371,68,-17.25,-0.2023,-26.75,-0.2823,4,,-0.3333,0,,,2,0,0,11.5,-0.2333,-0.3235,30,-0.1781,-0.3407,0.6216,-0.0761,0.0251,0.2307,0.4759,0.4306,1.1915,0,0
201811,20140,"Dublin, GA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,239050,0,0.1658,2741,0,0,87.19445458,0,0.1658,2,0,1,0,,,142.5,28,0.2445,44,0.4467,0,,,0,,,0,,,0,,,2,0,1,0,0,0,-0.1379,-0.1071,-0.1379,-0.1071,0,0
201811,23580,"Gainesville, GA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,208675,0.1158,0.2462,1772,0.1075,0.0363,116.7197697,0.036,0.1191,24,0.2632,-0.0204,0.2917,-0.0764,0.1915,64.5,21,0.4828,-11,-0.1457,2,-0.75,-0.8333,0,,,6,,,8.5,-0.3462,-0.1053,32.5,0.0156,-0.0441,0.3542,-0.33,-0.0336,-0.3427,-0.5732,-0.3393,-0.6186,0,0
201811,32900,"Merced, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,190025,0.0177,0.1194,1306.5,-0.0051,-0.0015,150.7733952,0.1394,0.2631,6,0.3333,0.7143,0.3333,2,-0.2222,82,20.5,0.3333,34.75,0.7354,0,,,0,,,0,,,1,0,,7,0.2727,1,0.1667,-0.0556,0.1667,0.9495,0.5685,0.3667,0.1081,1,0
201811,24020,"Glens Falls, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,210525,-0.1405,0.2763,1675.5,-0.1252,0.0727,123.0355392,-0.0334,0.0981,18.5,-0.1778,-0.4219,0.054,-0.5136,-0.506,150,6.25,0.0435,-20,-0.1176,0,,,0,,,0,-1,,2,0,3,20.5,-0.1633,-0.3692,0.1081,0.0192,0.0925,-0.158,-0.4359,-0.069,-0.069,0,0
201811,42200,"Santa Maria-Santa Barbara, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,844770,0.019,0.1552,1893.5,0.0085,0.1165,477.812289,-0.0336,0.0595,77.5,-0.0988,0.1071,0.1806,-0.2776,-0.2562,75.5,11,0.1705,-2,-0.0258,10,-0.5833,-0.5833,4,,,20,-0.1667,1.5,12,-0.2,0.7143,89.5,-0.1139,0.1623,0.1548,-0.0196,0.0548,-0.3416,-0.192,-0.2283,-0.2741,0,0
201811,31060,"Los Alamos, NM",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,304175,-0.0642,0.7386,1650.5,0.0623,0.1689,172.651324,-0.131,0.3938,2,0.3333,-0.4286,0.5,-0.25,0.1668,36.75,12,0.4848,-1.5,-0.0392,2,0,-0.5,0,,,0,,,5.5,-0.0833,0.1,7.5,0,-0.1176,2.75,-1.25,1.3214,0.1859,-0.1852,0.1042,0.0192,1,0
201811,46700,"Vallejo-Fairfield, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,301132,-0.1189,0.0509,1233.75,-0.0232,-0.0274,234.849582,-0.0622,0.0488,17.5,-0.1667,0.3462,0.3142,-0.4002,-0.2573,39.25,7.25,0.2266,-5.25,-0.118,4,-0.75,0,0,,,6,0,0.5,3.5,2.5,0.75,21,-0.0455,0.4,0.2,0.1524,0.0462,-0.1844,0.1664,-0.0936,-0.0782,0,0
201811,41140,"St. Joseph, MO-KS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,165000,0,-0.2398,1828,0,,91.66666667,0,,4,0,1,0,-1,,134,28,0.2642,-90.5,-0.4031,0,,,0,,,0,,,0,,,4,0,1,0,0,0,-0.1331,1.5455,-0.125,0.2727,0,0
201811,39740,"Reading, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_3,97475,0.1822,-0.1874,1375,0.0263,-0.1776,71.78140532,0.0628,-0.1465,117,-0.0127,-0.5769,0.2991,0.2436,0.3129,71,0.5,0.0071,-8.5,-0.1069,48,0.1429,-0.4419,0,-1,-1,30,0.25,-0.4231,0,,,117,-0.0127,-0.5769,0,0,0,0.2696,-0.4337,0.2479,0.3774,0,0
